SYMBOL	L1_D01_T1	L1_D01_T2	L1_D02_T1	L1_D02_T2	L1_D03_T1	L1_D03_T2	L1_D04_T1	L1_D04_T2	L1_D05_T1	L1_D05_T2	L1_D06_T1	L1_D06_T2	L1_D07_T1	L1_D07_T2	L1_D08_T1	L1_D08_T2	L1_D09_T1	L1_D09_T2	L1_D10_T1	L1_D10_T2	L1_D11_T1	L1_D11_T2	L1_D12_T1	L1_D12_T2	L1_D13_T1	L1_D13_T2	L1_D14_T1	L1_D14_T2	L1_D15_T1	L1_D15_T2	L1_D16_T1	L1_D16_T2
CR2	22.632	22.13	24.939	17.565	27.788	25.434	25.849	24.033	24.45	24.516	24.313	21.889	29.839	19.896	22.173	21.355	25.569	32.129	20.896	25.849	24.992	27.17	24.789	25.936	21.154	24.739	28.695	30.872	23.133	26.79	27.64	28.556
FCRL1	24.918	20.791	24.771	16.636	26.565	26.467	25.085	25.055	26.132	23.383	24.5	23.049	26.364	21.098	21.08	26.034	27.434	30.269	23.314	24.913	22.234	25.092	26.355	27.275	20.349	25.823	31.088	29.681	22.199	26.529	28.921	27.121
TNFRSF13B	24.203	20.926	22.256	17.85	29.465	29.451	26.714	27.81	24.553	23.353	23.847	19.983	27.267	23.604	22.025	26.197	26.154	30.583	24.29	24.909	23.424	26.084	23.979	28.137	23.882	24.701	29.716	31.17	21.773	22.982	29.538	26.596
VPREB3	26.661	22.3	25.518	18.951	25.137	25.744	26.371	27.083	23.678	23.207	25.48	21.903	29.805	23.738	20.122	23.867	24.066	32.319	20.649	22.561	27.02	27.206	26.782	26.304	23.267	25.87	28.764	29.897	23.259	26.194	29.8	28.677
CD14	22.662	25.127	29.128	26.377	28.578	26.924	24.457	27.899	22.173	28.467	26.627	27.442	25.283	30.678	25.698	27.539	20.655	24.824	21.717	25.089	29.345	27.243	23.268	31.419	21.528	23.255	26.885	21.858	24.365	25.013	21.241	26.182
LYZ	21.189	24.271	30.73	28.361	26.744	25.01	24.021	30.272	21.742	26.228	27.515	26.966	26.996	26.39	26.427	29.445	20.541	24.375	19.243	25.812	28.325	29.343	23.725	29.858	21.547	22.467	25.627	25.912	22.683	26.462	23.703	26.939
FCN1	23.707	25.786	29.782	29.773	30.147	25.586	23.282	27.896	23.276	25.815	30.758	25.78	25.649	29.488	27.829	27.433	17.238	26.851	21.78	26.014	27.297	25.344	22.983	28.627	20.407	21.123	26.673	22.719	25.333	27.666	23.403	24.409
VCAN	22.927	28.141	29.468	26.336	27.742	25.081	26.66	29.488	20.121	27.773	26.485	26.317	26.406	30.398	27.093	26.629	18.456	27.188	21.164	25.442	29.859	30.292	22.228	31.733	20.286	22.587	27.417	22.761	26.051	25.692	25.149	24.763
S100A8	21.375	27.92	27.029	27.743	25.614	25.457	24.85	27.734	21.65	27.061	27.882	26.379	27.053	28.173	26.824	26.514	17.822	26.61	23.368	24.445	28.294	29.016	23.416	32.093	22.211	25.053	27.569	21.732	24.883	25.373	23.148	24.552
S100A9	23.614	26.875	30.512	29.473	27.257	22.341	25.488	31.679	20.939	26.674	26.65	24.972	26.144	30.11	27.749	27.351	18.464	27.402	22.857	27.925	27.942	28.758	24.805	29.621	21.956	22.525	26.989	23.295	25.536	26.973	23.797	22.092
CSF1R	21.539	26.438	26.518	31.028	25.677	23.831	26.282	26.448	21.756	27.887	27.638	27.147	25.044	28.452	23.113	25.916	20.041	27.033	23.672	25.301	29.091	28.279	22.788	30.659	21.883	22.423	26.172	23.045	25.316	27.294	23.777	23.976
ITGAM	23.108	27.721	29.681	27.999	26.407	24.721	22.753	28.239	22.231	29.634	26.046	26.347	26.278	27.304	27.682	24.774	18.089	27.624	20.59	24.963	26.588	26.448	23.794	29.551	20.616	20.666	25.833	25.536	23.986	27.411	25.298	25.695
CD68	22.847	24.959	28.324	29.276	25.894	25.857	23.892	28.598	19.921	28.024	28.144	26.638	25.915	30.343	28.696	27.062	20.15	26.76	20.066	24.111	30.838	29.247	24.263	29.938	21.909	22.449	27.201	23.361	23.165	29.364	25.319	24.478
FCGR3A	23.949	25.71	31.589	27.902	24.678	26.861	25.891	28.147	19.176	26.099	26.768	23.893	25.217	29.495	27.736	26.085	19.437	26.732	23.302	24.073	26.609	25.975	24.039	29.688	22.253	22.098	27.622	23.362	24.406	25.735	25.871	24.292
NKG7	30.586	27.413	28.307	25.719	26.376	19.021	20.437	22.183	25.792	28.566	25.75	27.764	23.454	29.582	26.383	24.786	29.617	23.356	24.681	21.929	20.371	24.779	28.712	27.523	23.982	26.129	26.047	24.428	22.874	23.909	24.336	22.91
GNLY	29.666	26.687	25.307	24.2	28.276	17.521	20.329	21.725	22.946	26.688	28.521	26.151	22.117	29.264	24.811	26.469	27.958	22.359	27.514	22.41	21.252	24.555	27.057	28.136	24.534	24.888	26.646	23.147	24.798	23.791	22.212	24.716
KLRD1	30.712	25.824	25.884	23.399	26.922	18.873	20.547	23.945	22.904	28.335	26.796	27.081	19.308	29.41	25.51	24.596	27.947	22.343	25.424	22.63	21.025	25.913	29.809	28.171	23.184	26.487	26.553	23.448	26.444	24.453	24.095	24.186
KLRF1	30.711	29.742	26.664	24.552	29.27	18.097	21.946	24.186	22.529	28.751	24.51	26.936	23.183	30.41	22.629	24.314	27.528	25.178	23.646	20.704	21.266	25.176	28.388	26.427	24.45	27.153	25.822	25.18	24.057	24.061	25.98	26.015
PRF1	31.319	26.866	27.101	25.22	26.161	21.141	20.782	24.626	24.39	27.757	25.823	27.242	26.292	30.854	24.239	25.965	29.878	22.224	24.575	24.249	20.572	24.666	28.274	24.693	23.663	28.343	25.976	22.433	22.218	24.03	26.119	24.703
GZMB	29.479	25.669	26.248	26.108	29.494	20.61	19.544	24.088	24.484	27.277	27	25.731	22.652	29.83	23.481	24.221	28.899	22.863	26.634	22.62	19.401	26.027	29.816	27.512	25.62	24.301	30.189	25.087	24.19	25.217	24.535	24.754
NCR1	27.894	28.106	28.74	27.373	26.985	18.902	20.806	26.067	25.528	27.779	28.007	27.273	23.761	32.364	28.962	25.019	28.595	23.405	25.387	23.994	20.839	25.667	27.472	25.229	25.461	25.744	26.624	22.327	23.159	25.177	23.829	26.497
KLRC1	30.078	27.45	26.151	24.508	26.58	20.42	18.981	25.996	23.334	28.171	26.6	25.691	23.58	30.175	25.944	24.091	27.251	21.845	25.188	22.24	20.144	23.373	28.131	27.069	22.183	26.386	27.727	23.569	21.378	24.107	23.795	25.904
FGFBP2	31.455	28.692	24.834	23.91	26.674	17.76	18.663	25.641	23.837	28.027	25.226	26.897	21.758	29.946	24.87	24.106	28.205	21.303	24.153	22.196	22.474	23.301	27.288	24.989	23.399	25.001	28.033	23.276	24.863	25.332	25.729	25.179
SPON2	31.123	27.123	27.289	24.676	25.964	17.568	19.737	23.793	24.446	27.227	25.914	26.228	24.979	30.657	23.096	24.568	29.509	23.87	25.772	23.366	19.182	25.043	28.743	27.56	25.436	25.689	27.391	22.694	23.13	23.37	24.905	23.126
