SYMBOL	L2_D01_T1	L2_D01_T2	L2_D02_T1	L2_D02_T2	L2_D03_T1	L2_D03_T2	L2_D04_T1	L2_D04_T2	L2_D05_T1	L2_D05_T2	L2_D06_T1	L2_D06_T2	L2_D07_T1	L2_D07_T2	L2_D08_T1	L2_D08_T2	L2_D09_T1	L2_D09_T2	L2_D10_T1	L2_D10_T2	L2_D11_T1	L2_D11_T2	L2_D12_T1	L2_D12_T2	L2_D13_T1	L2_D13_T2	L2_D14_T1	L2_D14_T2	L2_D15_T1	L2_D15_T2	L2_D16_T1	L2_D16_T2
CD19	23.13	26.004	23.849	21.913	24.804	20.226	19.543	25.546	23.541	24.785	19.927	31.218	21.359	28.966	27.5	30.284	23.67	22.905	26.837	27.231	21.475	28.835	28.025	22.663	26.137	24.213	31.476	22.988	28.625	27.715	22.504	25.997
MS4A1	24.268	25.562	23.51	21.787	27.022	19.955	15.65	25.952	23.01	21.151	20.164	31.163	22.959	27.526	28.279	31.062	21.033	21.191	26.069	27.486	19.361	31.208	25.296	20.224	25.283	27.276	30.223	25.403	27.704	30.206	23.614	26.783
CD79A	23.687	28.009	24.938	22.414	27.289	22.163	17.63	26.842	24.328	23.273	19.613	31.144	21.279	29.669	29.056	31.153	24.645	22.376	23.825	26.871	21.944	31.847	26.035	20.306	26.851	25.391	32.645	24.729	29.187	28.365	24.413	28.687
CD79B	24.394	26.077	24.043	20.564	23.602	23.988	18.053	26.513	25.298	23.998	18.923	31.919	20.652	31.238	29.585	31.291	23.431	21.396	28.058	25.69	18.451	32.193	29.387	22.593	26.345	25.456	32.527	24.812	29.154	28.358	26.85	25.251
BLNK	26.832	25.459	25.553	23.491	24.447	22.161	17.255	26.884	24.168	21.902	18.06	30.575	21.391	30.547	26.902	31.689	21.498	22.18	26.544	25.341	20.856	30.283	24.284	19.641	23.685	25.645	30.071	23.163	30.491	29.583	25.546	28.516
PAX5	26.546	24.311	24.126	20.421	25.73	22.05	17.801	25.57	25.299	20.766	18.446	31.313	20.755	29.741	27.95	31.202	24.107	22.736	25.348	25.117	21.236	28.72	25.916	21.861	23.828	27.31	31.401	23.097	31.552	27.464	25.385	27.644
CR2	25	23.043	22.761	20.849	24.529	22.327	16.218	26.315	23.015	21.566	20.699	33.055	21.918	27.569	29.608	31.242	22.108	20.99	25.001	26.139	18.851	32.833	28.226	19.772	26.411	25.068	31.955	23.224	27.078	29.941	23.579	27.041
FCRL1	24.764	28.174	24.566	20.951	24.246	21.507	17.08	23.793	22.214	22.582	19.307	30.261	20.69	29.328	27.242	30.743	22.047	22.02	26.478	26.312	21.102	29.924	26.333	20.98	24.109	25.255	32.026	24.708	30.563	28.72	25.039	28.412
TNFRSF13B	25.638	26.998	24.802	21.766	24.087	21.724	14.934	27.283	25.23	23.044	19.424	31.636	22.545	27.97	30.078	32.768	22.676	22.764	28.062	25.825	19.07	31.507	26.048	22.441	21.799	24.695	31.995	26.461	30.427	28.894	26.748	27.379
VPREB3	25.124	23.319	26.853	21.483	25.358	23.482	18.818	26.541	23.711	21.76	18.659	33.171	22.418	29.224	28.314	30.572	22.787	20.431	26.283	27.44	18.911	29.033	25.293	20.928	24.614	26.192	30.696	23.929	32.202	29.248	25.584	25.383
CD14	29.418	26.103	27.615	30.062	27.345	30.212	25.747	27.773	20.396	23.567	22.378	22.272	22.471	20.478	28.557	23.307	19.66	21.614	26.393	29.301	23.284	23.513	31.646	20.905	21.119	23.822	27.502	21.45	26.713	24.97	31.531	25.91
LYZ	29.009	24.395	26.655	30.09	28.001	28.934	27.594	30.092	24.441	22.762	21.768	22.899	22.678	19.823	28.232	22.213	16.74	21.814	25.204	26.572	21.651	24.417	31.256	20.652	20.357	24.369	28.014	20.096	26.468	27.94	30.544	25.312
FCN1	29.091	27.747	27.43	29.879	29.414	28.792	26.934	27.742	25.057	24.503	23.687	21.763	23.071	21.302	28.224	22.908	16.203	21.851	23.489	27.862	24.363	22.156	30.517	19.961	25.053	23.501	26.197	22.748	27.753	24.85	31.154	24.811
VCAN	28.598	29.074	25.68	29.031	28.036	27.92	25.562	28.375	22.567	23.8	21.958	24.048	22.915	21.411	27.564	23.549	19.723	24.271	25.764	28.237	21.724	23.677	29.009	21.164	24.991	22.993	27.811	22.037	25.407	24.4	30.602	22.395
S100A8	30.159	28.104	26.616	30.165	28.314	31.08	26.435	27.058	22.589	23.69	23.213	24.145	21.351	21.169	31.028	23.133	20.51	23.515	26.077	31.768	23.077	24.29	30.509	19.601	23.246	25.235	27.891	21.939	27.13	23.959	29.955	23.305
S100A9	29.549	27.817	25.733	29.11	28.33	29.208	28.205	24.05	23.84	24.304	19.892	24.252	22.912	21.912	28.927	21.426	20.4	22.262	22.916	28.711	23.458	22.273	28.446	20.134	20.968	26.078	27.891	22.607	26.529	26.092	28.841	22.9
CSF1R	29.263	26.464	26.57	29.338	26.864	28.758	26.741	27.143	24.933	24.682	24.313	24.432	21.64	20.446	27.024	20.994	16.55	22.511	25.222	27.865	24.455	21.145	29.133	20.163	21.699	24.123	26.115	22.254	25.569	24.888	29.611	23.628
ITGAM	30.529	30.523	26.666	31.133	26.023	29.366	26.227	25.409	23.229	24.468	21.338	24.13	21.488	22.526	28.283	21.741	18.442	23.49	24.843	29.45	24.07	23.87	30.591	20.07	22.107	22.191	29.584	22.113	26.34	26.347	29.445	22.786
CD68	29.276	28.721	24.615	32.064	29.366	31.306	26.454	28.001	24.344	23.669	23.701	23.688	20.016	23.273	29.714	24.944	18.3	20.501	23.86	28.307	22.325	22.417	29.127	19.97	23.996	24.666	27.162	21.853	25.523	23.505	28.457	22.079
FCGR3A	29.446	26.103	26.516	29.269	26.049	29.603	27.94	26.569	22.079	24.583	23.548	24.603	22.578	22.843	29.578	23.158	20.332	23.174	23.835	28.508	24.975	23.134	31.713	19.602	24.058	27.136	29.463	23.304	26.848	23.538	29.217	21.445
NKG7	20.491	24.612	27.862	17.481	25.09	30.26	24.77	24.644	21.722	23.108	30.355	25.572	31.714	17.74	28.48	25.591	22.807	27.737	23.365	20.021	21.231	25.733	28.847	20.304	23.047	21.804	29.333	24.124	27.792	22.683	23.499	26.662
GNLY	20.815	26.165	30.243	17.66	25.411	30.127	23.674	24.333	24.393	26.728	32.101	24.255	31.245	18.92	30.763	24.588	23.28	25.816	22.303	21.138	19.875	24.78	31.028	21.523	24.77	17.861	32.037	25.384	27.806	21.97	21.736	26.482
KLRD1	22.604	23.634	27.372	17.234	28.341	30.387	21.884	26.684	25.017	25.479	32.238	23.381	30.652	20.436	29.981	25.962	22.716	25.559	22.57	22.71	20.753	24.061	29.257	22.347	22.351	23.797	31.469	22.855	23.754	22.927	22.88	27.456
KLRF1	22.729	22.945	27.858	18.352	27.911	31.801	24.46	26.47	22.456	22.949	30.927	24.372	31.93	18.114	30.727	26.213	24.124	24.431	21.975	21.929	20.63	22.475	32.417	20.516	22.142	23.196	30.525	24.318	26.211	23.571	23.753	26.197
PRF1	21.527	23.007	26.782	17.392	27.417	29.32	24.182	24.874	24.317	24.309	31.297	24.485	31.775	19.648	30.439	23.087	23.168	24.901	22.564	20.799	20.45	25.713	30.939	19.414	23.206	20.706	32.305	25.441	25.863	22.254	21.223	28.038
GZMB	23.469	22.923	26.948	16.795	24.621	33.053	23.852	25.161	21.16	23.423	31.295	23.438	31.795	20.193	29.391	27.881	24.651	24.312	23.182	21.106	20.627	24.849	29.699	21.401	23.151	22.403	33.363	25.057	26.611	23.4	24.286	26.678
NCR1	22.496	24.414	30.838	17.328	27.346	31.505	21.948	25.309	22.284	25.056	31.338	28.462	33.483	19.267	28.949	24.287	25.825	24.574	21.84	20.413	18.96	24.662	31.238	21.461	21.523	24.234	29.944	23.789	27.755	23.29	22.297	28.741
KLRC1	20.979	23.563	28.112	18.465	25.746	32.681	24.028	25.233	23.298	25.012	31.453	25.402	31.618	19.924	29.786	26.251	22.255	25.448	23.12	20.849	22.273	24.162	28.854	22.228	21.381	22.863	31.157	22.757	26.727	22.762	21.675	26.478
FGFBP2	23.055	23.608	27.524	15.691	27.929	30.147	23.002	25.446	27.012	21.97	31.157	24.194	28.15	17.524	29.753	25.616	22.116	26.373	23.867	21.065	20.859	20.902	29.499	20.608	23.371	23.335	30.502	27.275	25.835	23.045	22.841	26.132
SPON2	22.522	24.564	28.063	17.492	27.837	29.696	22.829	23.553	21.723	21.975	29.08	24.667	31.792	19.516	29.032	26.415	24.493	27.721	22.27	22.12	21.991	25.756	30.642	19.925	24.575	25.128	30.774	22.91	26.765	20.876	25.948	25.403
